	Entity1	Entity2	Stength
10287	韩式半梅	相同色泽着色剂加和系数	1
10286	阿胶片	铅	2
10285	烤鱼片	N-二甲基亚硝胺	1
10284	无核话梅	乙酰磺胺酸钾	1
10283	无核话梅	安赛蜜	1
10282	无核话梅	钾	1
10281	三鲜锅巴	霉菌	1
10280	黄金椰丝小餐包	防腐剂	1
10279	手剥笋	乙二胺四乙酸二钠	1
10278	手剥笋	钠	5
10277	苔菜	铅	2
10276	谷物草鸡蛋	氟	1
10275	猪脚皮	山梨酸	1
10274	猪脚皮	钾	1
10273	圆萝卜	甲拌磷	1
10272	圆萝卜	磷	1
10271	凉拌海蜇	铝	26
10270	芹菜	水胺硫磷	2
10269	嫩鸭	磺胺类	1
10268	黑醋梅肉	乙酰磺胺酸钾	1
10267	黑醋梅肉	安赛蜜	1
10266	黑醋梅肉	钾	1
10265	紫薯饼	霉菌	1
10264	肉馒头	铝	1
10263	早餐面包	防腐剂	1
10262	年糕片	纳他霉素	4
10261	白糖方糕	脱氢乙酸	1
10260	白糖方糕	钠	1
10259	鸡蛋	金刚烷胺	1
10258	山核桃仁	霉菌	1
10257	奶酪面包	防腐剂	1
10256	乌鸡	恩诺沙星	1
10255	豆腐	铝	1
10254	老鸭	氯霉素	2
10253	南北湖蓝莓汁饮料	乙酰磺胺酸钾	1
10252	南北湖蓝莓汁饮料	安赛蜜	1
10251	南北湖蓝莓汁饮料	钾	1
10250	豆沙卷	糖精钠	1
10249	豆沙卷	钠	1
10248	香烤大海蜒	二丁基羟基甲苯	1
10247	草莓干	胭脂红	5
10246	豆面	苋菜红	11
10245	黑麻酥糖	柠檬黄	1
10244	开花馒头	甜蜜素	3
10243	小馒头	环已基氨基磺酸钠	1
10242	小馒头	甜蜜素	2
10241	小馒头	钠	1
10240	头号切片曲奇	山梨酸	1
10239	头号切片曲奇	钾	1
10238	大乌梅	苋菜红	1
10237	饮用水	亚硝酸盐	1
10236	饮用水	硝酸盐	1
10235	糖水杨梅罐头	苋菜红	3
10234	青砖茶	氟	20
10233	鳊鱼	磺胺类	7
10232	黄酒	安赛蜜	1
10231	核桃糕	霉菌	3
10230	带豆	灭蝇胺	5
10229	荆花蜂蜜	氟	1
10228	高粱包	甜蜜素	1
10227	中豆腐	山梨酸	2
10226	中豆腐	钾	2
10225	小黄瓜	苯甲酸	2
10224	小黄瓜	钠	4
10223	包菜	甲基异柳磷	6
10222	包菜	磷	6
10221	荞麦酒	氰化物	1
10220	千岛湖鲫鱼	孔雀石绿	2
10219	荭菇娘果汁饮料	铅	1
10218	瓜丝脆蜇皮	铝	1
10217	肉鸡	多西环素	2
10216	鲫鱼	地西泮	1
10215	杂粮馒头	环已基氨基磺酸钠	1
10214	杂粮馒头	甜蜜素	1
10213	杂粮馒头	钠	4
10212	鸡蛋	氟	1
10211	百花蜜	霉菌	1
10210	沙琪玛	铝	7
10209	鸭肉	五氯酚酸钠	4
10208	鸭肉	钠	4
10207	小麻花	糖精钠	1
10206	小麻花	钠	1
10205	料酒	甜蜜素	1
10204	太湖河虾	呋喃西林代谢物	1
10203	开洋	亚硫酸盐	12
10202	海蜇丝	铝	1
10201	皮皮虾	镉	1
10200	蓝莓慕斯	霉菌	1
10199	羊肉卷	克伦特罗	1
10198	荔枝蜂蜜	果糖和葡萄糖	1
10197	广式凤梨味月饼	山梨酸	1
10196	广式凤梨味月饼	钾	1
10195	减盐盐渍海蜇头	山梨酸	4
10194	戚风蛋糕	脱氢乙酸	1
10193	戚风蛋糕	钠	2
10192	白豆干	苯甲酸	1
10191	白豆干	钠	1
10190	糖糕	铝	4
10189	年糕	二氧化硫	7
10188	牛肉	地塞米松	1
10187	糯米年糕	脱氢乙酸	2
10186	糯米年糕	钠	2
10185	大开洋	亚硫酸盐	5
10184	拿破仑蛋糕	霉菌	1
10183	紫姜	甜蜜素	1
10182	红枣酒	甲醇	8
10181	发糕	糖精钠	3
10180	发糕	钠	3
10179	特级小青瓜	糖精钠	1
10178	特级小青瓜	钠	2
10177	去骨胸肉	磺胺类	1
10176	韭菜	乐果	1
10175	榨菜丝	苯甲酸	4
10174	榨菜丝	钠	8
10173	枇杷梗	霉菌	1
10172	野山椒小萝卜	防腐剂	1
10171	华之良品盐津桃肉	霉菌	1
10170	速冻鸡柳	脱氢乙酸	1
10169	速冻鸡柳	钠	1
10168	五香豆	二氧化硫	1
10167	绿茶	氰戊菊酯	2
